id,name,lat,lng,pantyliner,medium,large,overnight,password,phonenumber,location,area
1,"Baengma Station",37.65825679613986,126.79443218437487,12,8,4,9,2314,1544-7788,"318 Gyeongui-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea",2
2,"Madu Station",37.655984061625205,126.7896024113928,0,0,0,0,0,1544-7788,"1180 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea",2
3,"Pangyo Station",37.39489957393206,127.11112781135085,0,0,0,0,0,1544-7788,"160 Pangyoyeok-ro Bundang-gu Seongnam-si Gyeonggi-do Republic of Korea",2
4,"Ilsan Station",37.68198848881143,126.76999708255752,3,5,10,2,6455,1544-7788,"672 Gyeongui-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea",2
5,"Bucheon Station",37.484042411947264,126.78279226906078,0,0,0,0,0,1544-7788,"1 Bucheon-ro Bucheon-si Gyeonggi-do Republic of Korea",2
6,"Jukjeon Station",37.32463097569276,127.10738189637982,0,0,0,0,0,1544-7788,"530 Poeun-daero Suji-gu Yongin-si Gyeonggi-do Republic of Korea",2
7,"Suwon Station",37.26615158927434,126.99969478126633,0,0,0,0,0,1544-7788,"924 Deogyeong-daero Paldal-gu Suwon-si Gyeonggi-do Republic of Korea",2
8,"Daeseong-ri Station",37.68388332909574,127.37966618176357,0,0,0,0,0,1544-7788,"88 Gyeongchun-ro Cheongpyeong-myeon Gapyeong-gun Gyeonggi-do Republic of Korea",2
9,"Seohyeon Station",37.38518999661867,127.12362973907244,0,0,0,0,0,1544-7788,"601 Seongnam-daero Bundang-gu Seongnam-si Gyeonggi-do Republic of Korea",2
10,"Bupyeong Station",37.49060730457683,126.72342670212744,0,0,0,0,0,1544-7788,"16 Gwangjang-ro Bupyeong-gu Incheon Republic of Korea",2
11,"Central Park Station",37.393120123430876,126.63473227858306,10,2,8,9,1211,1544-7788,"240 Incheon tower-daero Yeonsu-gu Incheon Republic of Korea",2
12,"Dongincheon Station",37.47549919514787,126.63260848775876,0,0,0,0,0,1544-7788,"121 Chamoejeon-ro Jung-gu Incheon Republic of Korea",2
13,"Seoul Station",37.55626713078372,126.97212110240697,3,20,7,11,3245,1544-7788,"13 Tongil-ro Jung-gu Seoul Republic of Korea",1
14,"Shinchon Station",37.555145977331165,126.9368857204194,0,0,0,0,0,1544-7788,"90 Sinchon-ro 1-gil Seodaemun-gu Seoul Republic of Korea",1
15,"Sookmyung Women's University Station",37.5445696448436,126.97210820938525,9,5,3,0,8193,1544-7788,"306 Hangang-daero Yongsan-gu Seoul Republic of Korea",1
16,"Sadang Station",37.47653019207136,126.98162462466672,0,0,0,0,0,1544-7788,"2089 Nambusunhwan-ro Dongjak-gu Seoul Republic of Korea",1
17,"Wangsimni Station",37.56120064884561,127.03849173795697,0,0,0,0,0,1544-7788,"300 Wangsimni-ro Seongdong-gu Seoul Republic of Korea",1
18,"Dongjak Station",37.50289174498864,126.98036036025469,3,17,30,8,0,1544-7788,"257 Hyeonchung-ro Dongjak-gu Seoul Republic of Korea",1
